[Wed Jun 14 19:28:54 2023] ThreadID[13624]	Start Program.
[Wed Jun 14 19:29:02 2023] ThreadID[13624]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Wed Jun 14 19:29:02 2023] ThreadID[13624]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Jun 14 19:29:27 2023] ThreadID[24160]	Start Program.
[Wed Jun 14 19:29:31 2023] ThreadID[24160]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Wed Jun 14 19:29:31 2023] ThreadID[24160]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Jun 14 19:29:45 2023] ThreadID[20456]	Start Program.
[Wed Jun 14 19:29:54 2023] ThreadID[20456]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Wed Jun 14 19:29:54 2023] ThreadID[20456]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	Start Program.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Cube
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[ERROR]	H2B Not Found: ../Assets/ModelH2Bs/Cube.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[WARNING]	Loading will continue but model(s) are missing.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Platform_TopLeft
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X -4.000000 Y 1.000000 Z 0.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Platform_TopLeft.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Platform_TopMiddle
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 2.000000 Y 1.000000 Z 0.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Platform_TopMiddle.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Platform_TopRight
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 8.000000 Y 1.000000 Z 0.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Platform_TopRight.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Cloud1
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 0.000000 Y 10.000000 Z -5.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud1.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Cloud2
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 2.000000 Y 10.000000 Z 5.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud2.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Cloud2.001
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 7.000000 Y 10.000000 Z -2.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud2.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Cloud3
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X -2.000000 Y 10.000000 Z 0.000000
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud3.h2b
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Model Detected: Mushroom
[Wed Jun 14 19:30:24 2023] ThreadID[20036]	[INFO]	Location: X 0.300000 Y 2.000000 Z 0.800000
